GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01000907,E01000027,1.247,1.147,,E01000907,1.247
E01000908,E01000028,1.278,1.322,,E01000908,1.278
E01000909,E01000029,0.963,1.187,,E01000909,0.963
E01000912,E01000030,1.156,1.283,,E01000912,1.156
E01000913,E01000031,0.782,1.306,,E01000913,0.782
E01000893,E01000032,0.793,1.252,,E01000893,0.793
E01000894,E01000110,0.936,1.277,,E01000894,0.936
E01000895,E01000111,1.083,1.22,,E01000895,1.083
E01000896,E01000112,0.924,1.341,,E01000896,0.924
E01000899,E01000113,0.836,1.287,,E01000899,0.836
E01000910,E01000034,0.949,1.055,,E01000910,0.949
E01000911,E01000037,1.146,1.068,,E01000911,1.146
E01000921,E01000038,1.175,1.07,,E01000921,1.175
E01000923,E01000039,1.109,1.157,,E01000923,1.109
E01000928,E01000063,1.225,1.15,,E01000928,1.225
E01000878,E01000100,1.309,1.226,,E01000878,1.309
E01000879,E01000101,1.068,1.224,,E01000879,1.068
E01000880,E01000114,1.174,1.277,,E01000880,1.174
E01000884,E01034469,1.076,1.311,,E01000884,1.076
E01000885,E01034470,1.176,1.32,,E01000885,1.176
E01000871,E01000033,1.309,1.087,,E01000871,1.309
E01000872,E01000060,1.357,1.308,,E01000872,1.357
E01000873,E01000061,1.055,1.273,,E01000873,1.055
E01000874,E01000062,1.184,1.196,,E01000874,1.184
E01000877,E01000064,1.111,1.241,,E01000877,1.111
E01000886,E01000065,0.992,1.168,,E01000886,0.992
E01000887,E01000078,1.157,1.234,,E01000887,1.157
E01000888,E01000080,1.148,1.184,,E01000888,1.148
E01000892,E01000081,1.217,1.194,,E01000892,1.217
E01000903,E01000082,1.21,1.176,,E01000903,1.21
E01000889,E01000083,1.441,1.253,,E01000889,1.441
E01000890,E01000102,1.433,1.179,,E01000890,1.433
E01000891,E01000021,1.46,1.269,,E01000891,1.46
E01000901,E01000022,1.509,1.255,,E01000901,1.509
E01000922,E01000024,1.262,1.294,,E01000922,1.262
E01000927,E01000025,1.169,1.173,,E01000927,1.169
E01000881,E01000077,1.318,1.273,,E01000881,1.318
E01000882,E01034471,1.037,1.382,,E01000882,1.037
E01000883,E01034472,1.316,1.412,,E01000883,1.316
E01000897,E01000015,1.064,1.195,,E01000897,1.064
E01000898,E01000016,1.451,1.161,,E01000898,1.451
E01000866,E01000017,1.31,1.229,,E01000866,1.31
E01000870,E01000018,1.2,1.075,,E01000870,1.2
E01000924,E01000079,1.117,1.145,,E01000924,1.117
E01000925,E01000035,1.437,1.198,,E01000925,1.437
E01000926,E01000036,1.436,1.216,,E01000926,1.436
E01000969,E01000107,1.197,1.201,,E01000969,1.197
E01000970,E01000108,1.043,1.25,,E01000970,1.043
E01000971,E01000066,1.038,1.073,,E01000971,1.038
E01000972,E01000067,1.468,1.172,,E01000972,1.468
E01000973,E01000069,1.397,1.02,,E01000973,1.397
E01000842,E01000070,1.047,1.025,,E01000842,1.047
E01000844,E01000071,1.16,1.157,,E01000844,1.16
E01000848,E01000057,1.104,1.18,,E01000848,1.104
E01000849,E01000073,1.166,1.149,,E01000849,1.166
E01000900,E01000074,1.267,1.178,,E01000900,1.267
E01000902,E01000075,1.513,1.128,,E01000902,1.513
E01000904,E01000076,1.365,1.163,,E01000904,1.365
E01000905,E01000013,1.474,1.105,,E01000905,1.474
E01000906,E01000014,1.154,1.08,,E01000906,1.154
E01000875,E01000059,1.351,1.078,,E01000875,1.351
E01000876,E01000084,1.471,1.107,,E01000876,1.471
E01000931,E01000085,1.469,1.113,,E01000931,1.469
E01000932,E01000086,1.314,1.112,,E01000932,1.314
E01000974,E01000103,1.439,1.24,,E01000974,1.439
E01000843,E01000104,1.28,1.221,,E01000843,1.28
E01000845,E01000105,1.118,1.202,,E01000845,1.118
E01000846,E01000106,1.444,1.247,,E01000846,1.444
E01000847,E01000007,1.432,1.393,,E01000847,1.432
E01000864,E01000008,1.243,1.352,,E01000864,1.243
E01000865,E01000012,1.166,1.374,,E01000865,1.166
E01000867,E01034473,1.412,1.154,,E01000867,1.412
E01000868,E01034474,1.48,1.3,,E01000868,1.48
E01000869,E01000006,1.263,1.225,,E01000869,1.263
E01000962,E01000009,1.179,1.239,,E01000962,1.179
E01000964,E01000011,1.205,1.144,,E01000964,1.205
E01000965,E01000044,1.275,1.324,,E01000965,1.275
E01000966,E01000068,0.931,1.087,,E01000966,0.931
E01000968,E01000041,1.206,1.138,,E01000968,1.206
E01000960,E01000042,1.378,1.258,,E01000960,1.378
E01000961,E01000045,1.467,1.256,,E01000961,1.467
E01000963,E01000046,1.435,1.142,,E01000963,1.435
E01000967,E01000072,1.177,1.292,,E01000967,1.177
E01000857,E01000054,1.048,1.132,,E01000857,1.048
E01000858,E01000055,1.467,1.192,,E01000858,1.467
E01000859,E01000056,0.847,1.109,,E01000859,0.847
E01000860,E01000058,1,1.286,,E01000860,1
E01000862,E01000095,1.031,1.3,,E01000862,1.031
E01000856,E01000040,1.442,1.329,,E01000856,1.442
E01000861,E01000043,1.296,1.227,,E01000861,1.296
E01000957,E01000050,1.419,1.301,,E01000957,1.419
E01000958,E01000052,1.499,1.298,,E01000958,1.499
E01000959,E01034475,1.436,1.307,,E01000959,1.436
E01000929,E01034476,1.516,1.394,,E01000929,1.516
E01000930,E01034477,1.474,1.294,,E01000930,1.474
E01000933,E01034478,1.262,1.381,,E01000933,1.262
E01000934,E01000053,1.489,1.199,,E01000934,1.489
E01000935,E01000087,1.493,1.216,,E01000935,1.493
E01000863,E01000088,1.163,1.307,,E01000863,1.163
E01000946,E01000089,1.372,1.282,,E01000946,1.372
E01000947,E01000090,1.382,1.334,,E01000947,1.382
E01000948,E01000049,1.237,1.348,,E01000948,1.237
E01000952,E01000051,1.474,1.357,,E01000952,1.474
E01000953,E01033587,1.452,1.372,,E01000953,1.452
E01000954,E01034479,1.513,1.399,,E01000954,1.513
E01000955,E01000091,1.498,1.331,,E01000955,1.498
E01000956,E01000093,1.476,1.34,,E01000956,1.476
E01000944,E01000094,1.494,1.32,,E01000944,1.494
E01000945,E01000096,1.449,1.329,,E01000945,1.449
E01000949,E01000019,1.402,1.26,,E01000949,1.402
E01000950,E01000020,1.456,1.381,,E01000950,1.456
E01000951,E01000097,1.473,1.198,,E01000951,1.473
E01000936,E01000098,1.482,1.309,,E01000936,1.482
E01000938,E01000099,1.505,1.258,,E01000938,1.505
E01000939,E01032580,1.428,1.276,,E01000939,1.428
E01000940,E01000248,1.452,0.704,,E01000940,1.452
E01000853,E01000249,1.407,0.791,,E01000853,1.407
E01000937,E01000250,1.417,1.094,,E01000937,1.417
E01000941,E01000254,1.469,0.724,,E01000941,1.469
E01000942,E01000292,1.343,0.959,,E01000942,1.343
E01000943,E01000293,1.356,1.016,,E01000943,1.356
E01000850,E01000167,1.343,1.01,,E01000850,1.343
E01000851,E01000246,1.35,0.858,,E01000851,1.35
E01000852,E01000247,1.343,0.894,,E01000852,1.343
E01000854,E01000251,1.496,1.192,,E01000854,1.496
E01000915,E01000252,1.427,0.893,,E01000915,1.427
E01000916,E01000166,1.39,1.073,,E01000916,1.39
E01000917,E01000168,1.462,1.076,,E01000917,1.462
E01000920,E01000169,1.303,0.921,,E01000920,1.303
E01000855,E01000172,1.237,0.907,,E01000855,1.237
E01000914,E01000285,1.298,1.169,,E01000914,1.298
E01000918,E01000287,1.381,1.113,,E01000918,1.381
E01000919,E01000288,1.426,1.13,,E01000919,1.426
E01000001,E01000289,0.915,1.301,,E01000001,0.915
E01000002,E01000291,0.739,1.23,,E01000002,0.739
E01000003,E01000294,1.097,1.046,,E01000003,1.097
E01000005,E01000267,1.468,1.006,,E01000005,1.468
E01032739,E01000268,1.069,1.245,,E01032739,1.069
E01032740,E01000269,0.961,0.957,,E01032740,0.961
E01001808,E01000270,1.081,1.137,,E01001808,1.081
E01001809,E01000170,1.338,1.144,,E01001809,1.338
E01001814,E01000171,1.407,1.192,,E01001814,1.407
E01001823,E01000173,1.422,1.093,,E01001823,1.422
E01001825,E01000174,1.018,1.05,,E01001825,1.018
E01001714,E01000175,1.501,1.005,,E01001714,1.501
E01001811,E01000228,1.519,1.229,,E01001811,1.519
E01001813,E01000253,1.541,1.007,,E01001813,1.541
E01033701,E01000279,1.538,0.874,,E01033701,1.538
E01001799,E01000280,1.202,1.026,,E01001799,1.202
E01001802,E01000286,1.378,1.122,,E01001802,1.378
E01001804,E01000290,1.273,1.02,,E01001804,1.273
E01001807,E01000271,1.42,1.064,,E01001807,1.42
E01001812,E01000272,1.32,1.023,,E01001812,1.32
E01001725,E01000273,1.433,1.204,,E01001725,1.433
E01001726,E01000281,1.523,1.194,,E01001726,1.523
