GSSCode,year,diversity
E01000027,2011,0.907
E01000027,2021,1.147
E01000029,2011,1.03
E01000029,2021,1.187
E01000031,2011,1.243
E01000031,2021,1.306
E01000110,2011,1.164
E01000110,2021,1.277
E01000112,2011,1.223
E01000112,2021,1.341
E01000034,2011,0.755
E01000034,2021,1.055
E01000038,2011,0.629
E01000038,2021,1.07
E01000063,2011,0.857
E01000063,2021,1.15
E01000101,2011,0.911
E01000101,2021,1.224
E01034469,2011,1.08
E01034469,2021,1.311
E01000033,2011,0.945
E01000033,2021,1.087
E01000061,2011,0.95
E01000061,2021,1.273
E01000064,2011,0.888
E01000064,2021,1.241
E01000078,2011,0.941
E01000078,2021,1.234
E01000081,2011,0.899
E01000081,2021,1.194
E01000083,2011,0.925
E01000083,2021,1.253
E01000021,2011,1.041
E01000021,2021,1.269
E01000024,2011,1.166
E01000024,2021,1.294
E01000077,2011,0.937
E01000077,2021,1.273
E01034472,2011,0.901
E01034472,2021,1.412
E01000016,2011,0.866
E01000016,2021,1.161
E01000018,2011,0.973
E01000018,2021,1.075
E01000035,2011,0.885
E01000035,2021,1.198
E01000107,2011,1.157
E01000107,2021,1.201
E01000066,2011,1.106
E01000066,2021,1.073
E01000069,2011,1.24
E01000069,2021,1.02
E01000071,2011,0.926
E01000071,2021,1.157
E01000073,2011,0.875
E01000073,2021,1.149
E01000075,2011,0.937
E01000075,2021,1.128
E01000013,2011,0.831
E01000013,2021,1.105
E01000059,2011,0.981
E01000059,2021,1.078
E01000085,2011,1.052
E01000085,2021,1.113
E01000103,2011,0.943
E01000103,2021,1.24
E01000105,2011,1.338
E01000105,2021,1.202
E01000007,2011,1.314
E01000007,2021,1.393
E01000012,2011,1.164
E01000012,2021,1.374
E01034474,2011,0.991
E01034474,2021,1.3
E01000009,2011,1.05
E01000009,2021,1.239
E01000044,2011,1.208
E01000044,2021,1.324
E01000041,2011,0.868
E01000041,2021,1.138
E01000045,2011,0.868
E01000045,2021,1.256
E01000072,2011,0.959
E01000072,2021,1.292
E01000055,2011,1.147
E01000055,2021,1.192
