GSSCode,diversity2011
E01000907,1.247
E01000908,1.278
E01000909,0.963
E01000912,1.156
E01000913,0.782
E01000893,0.793
E01000894,0.936
E01000895,1.083
E01000896,0.924
E01000899,0.836
E01000910,0.949
E01000911,1.146
E01000921,1.175
E01000923,1.109
E01000928,1.225
E01000878,1.309
E01000879,1.068
E01000880,1.174
E01000884,1.076
E01000885,1.176
E01000871,1.309
E01000872,1.357
E01000873,1.055
E01000874,1.184
E01000877,1.111
E01000886,0.992
E01000887,1.157
E01000888,1.148
E01000892,1.217
E01000903,1.210
E01000889,1.441
E01000890,1.433
E01000891,1.460
E01000901,1.509
E01000922,1.262
E01000927,1.169
E01000881,1.318
E01000882,1.037
E01000883,1.316
E01000897,1.064
E01000898,1.451
E01000866,1.310
E01000870,1.200
E01000924,1.117
E01000925,1.437
E01000926,1.436
E01000969,1.197
E01000970,1.043
E01000971,1.038
E01000972,1.468
E01000973,1.397
E01000842,1.047
E01000844,1.160
E01000848,1.104
E01000849,1.166
E01000900,1.267
E01000902,1.513
E01000904,1.365
E01000905,1.474
E01000906,1.154
E01000875,1.351
E01000876,1.471
E01000931,1.469
E01000932,1.314
E01000974,1.439
E01000843,1.280
E01000845,1.118
E01000846,1.444
E01000847,1.432
E01000864,1.243
E01000865,1.166
E01000867,1.412
E01000868,1.480
E01000869,1.263
E01000962,1.179
E01000964,1.205
E01000965,1.275
E01000966,0.931
E01000968,1.206
E01000960,1.378
E01000961,1.467
E01000963,1.435
E01000967,1.177
E01000857,1.048
E01000858,1.467
E01000859,0.847
E01000860,1.000
E01000862,1.031
E01000856,1.442
E01000861,1.296
E01000957,1.419
E01000958,1.499
E01000959,1.436
E01000929,1.516
E01000930,1.474
E01000933,1.262
E01000934,1.489
E01000935,1.493
E01000863,1.163
E01000946,1.372
E01000947,1.382
E01000948,1.237
E01000952,1.474
E01000953,1.452
E01000954,1.513
E01000955,1.498
E01000956,1.476
E01000944,1.494
E01000945,1.449
E01000949,1.402
E01000950,1.456
E01000951,1.473
E01000936,1.482
E01000938,1.505
E01000939,1.428
E01000940,1.452
E01000853,1.407
E01000937,1.417
E01000941,1.469
E01000942,1.343
E01000943,1.356
E01000850,1.343
E01000851,1.350
E01000852,1.343
E01000854,1.496
E01000915,1.427
E01000916,1.390
E01000917,1.462
E01000920,1.303
E01000855,1.237
E01000914,1.298
E01000918,1.381
E01000919,1.426
E01000001,0.915
E01000002,0.739
E01000003,1.097
E01000005,1.468
E01032739,1.069
E01032740,0.961
E01001808,1.081
E01001809,1.338
E01001814,1.407
E01001823,1.422
E01001825,1.018
E01001714,1.501
E01001811,1.519
E01001813,1.541
E01033701,1.538
E01001799,1.202
E01001802,1.378
E01001804,1.273
E01001807,1.420
E01001812,1.320
E01001725,1.433
E01001726,1.523
E01001800,1.426
E01001824,1.461
E01001826,1.421
E01001723,1.434
E01001724,1.395
E01001727,1.414
E01001768,1.455
E01001769,1.484
E01001715,1.310
E01001716,1.461
E01001717,1.459
E01001718,1.207
E01001719,1.496
E01001720,1.204
E01001742,1.473
E01001801,1.276
E01001803,1.210
E01001806,1.375
E01001741,1.267
E01001805,1.319
E01001829,1.151
E01001831,1.402
E01001832,1.458
E01001764,1.511
E01001765,1.491
E01001767,1.488
E01001770,1.516
E01033703,1.483
E01033713,1.495
E01001792,1.497
E01001793,1.466
E01001794,1.449
E01001795,1.440
E01001796,1.510
E01001736,1.352
E01001737,1.320
E01001738,1.256
E01001739,1.186
E01001786,1.377
E01001787,1.460
E01001788,1.457
E01001790,1.401
E01001740,1.529
E01001747,1.426
E01001830,1.491
E01001833,1.471
E01001834,1.436
E01001835,1.388
E01001733,1.447
E01001785,1.466
E01001789,1.453
E01001791,1.512
E01001745,1.471
E01001746,1.503
E01001757,1.444
E01001758,1.520
E01001759,1.482
E01001761,1.464
E01001731,1.485
E01001734,1.440
E01001760,1.497
E01001762,1.387
E01001846,1.438
E01001847,1.479
E01001848,1.383
E01001849,1.499
E01001729,1.460
E01001730,1.526
E01001732,1.472
E01001735,1.413
E01001838,1.497
E01001850,1.439
E01001748,1.427
E01001749,1.273
E01001763,1.410
E01001816,1.361
E01001819,1.318
E01001744,1.405
E01001750,1.443
E01001751,0.974
E01001756,1.212
E01033698,1.519
E01033699,1.474
E01033700,1.438
E01033707,1.482
E01001836,1.370
E01001840,1.465
E01001841,1.206
E01001844,1.380
E01001845,1.446
E01001837,1.166
E01001839,1.434
E01001842,1.503
E01001843,1.450
E01033704,1.334
E01033712,1.412
E01001772,1.486
E01001774,1.453
E01001775,1.528
E01001815,1.473
E01001820,1.443
E01001821,1.481
E01001752,1.403
E01001753,1.486
E01001754,1.456
E01001755,1.507
E01001773,1.511
E01001776,1.492
E01001779,1.516
E01001781,1.480
E01001782,1.398
E01001783,1.508
E01001777,1.463
E01001780,1.501
E01001784,1.490
E01033706,1.292
E01033708,1.203
E01033709,1.464
E01033711,1.410
E01001798,1.538
E01001828,1.486
E01033702,1.535
E01033705,1.504
E01033710,1.492
E01001722,1.506
E01001728,1.455
E01001822,1.535
E01001827,1.471
E01001874,1.471
E01001875,1.509
E01001876,1.572
E01001877,1.528
E01001878,1.506
E01001955,1.508
E01001957,1.503
E01001958,1.502
E01001961,1.509
E01001954,1.425
E01001956,1.379
E01001959,1.537
E01001960,1.366
E01001943,1.446
E01001944,1.491
E01001945,1.335
E01001946,1.384
E01001862,1.469
E01001940,1.475
E01001941,1.387
E01001942,1.410
E01001858,1.401
E01001860,1.499
E01001861,1.464
E01001863,1.206
E01001864,1.305
E01001852,1.258
E01001853,1.124
E01001854,1.298
E01001857,1.494
E01001859,1.455
E01001865,1.286
E01001927,0.950
E01001930,1.300
E01001895,1.329
E01001896,1.418
E01001897,1.146
E01001929,0.902
E01001851,0.973
E01001855,1.121
E01001856,1.397
E01001869,1.010
E01001873,1.336
E01001928,1.293
E01001931,1.466
E01001932,1.293
E01001933,1.271
E01001866,1.382
E01001867,1.470
E01001868,1.501
E01001870,1.404
E01001871,1.432
E01001872,1.370
E01001893,1.457
E01001894,1.355
E01001898,1.360
E01001899,1.455
E01001900,1.402
E01001889,1.164
E01001910,1.311
E01001913,0.936
E01001914,1.364
E01001885,1.535
E01001908,1.299
E01001909,1.281
E01001911,1.516
E01001912,1.544
E01001886,1.353
E01001887,1.339
E01001890,1.436
E01001892,1.378
E01001880,1.225
E01001881,1.071
E01001882,1.152
E01001883,1.314
E01001884,1.378
E01001888,1.075
E01001891,1.257
E01001917,0.966
E01001918,1.068
E01001919,1.005
E01001879,1.262
E01001901,0.980
E01001902,1.098
E01001903,1.381
E01001920,1.269
E01001921,0.986
E01001922,0.978
E01001923,1.175
E01001924,0.864
E01001947,1.501
