GSSCode,diversity2011
E01000001,0.915
E01000002,0.739
E01000003,1.097
E01000005,1.468
E01000006,1.37
E01000007,1.47
E01000008,1.471
E01000009,1.332
E01000011,1.446
E01000012,1.24
E01000013,1.459
E01000014,1.263
E01000015,1.16
E01000016,1.293
E01000017,1.232
E01000018,1.247
E01000019,1.203
E01000020,1.447
E01000021,1.325
E01000022,1.43
E01000024,1.343
E01000025,1.427
E01000027,1.425
E01000028,1.265
E01000029,1.234
E01000030,1.404
E01000031,1.335
E01000032,1.336
E01000033,1.465
E01000034,1.371
E01000035,1.12
E01000036,1.098
E01000037,1.291
E01000038,1.355
E01000039,0.948
E01000040,0.948
E01000041,1.048
E01000042,1.42
E01000043,1.282
E01000044,1.451
E01000045,1.414
E01000046,1.473
E01000049,1.387
E01000050,1.199
E01000051,1.439
E01000052,1.48
E01000053,1.475
E01000054,1.48
E01000055,1.461
E01000056,1.324
E01000057,1.205
E01000058,1.253
E01000059,1.281
E01000060,1.311
E01000061,1.379
E01000062,1.17
E01000063,1.272
E01000064,1.29
E01000065,1.276
E01000066,1.19
E01000067,1.231
E01000068,1.221
E01000069,1.403
E01000070,1.398
E01000071,1.306
E01000072,1.366
E01000073,1.387
E01000074,1.432
E01000075,1.307
E01000076,1.252
E01000077,1.22
E01000078,1.206
E01000079,1.319
E01000080,1.265
E01000081,1.284
E01000082,1.256
E01000083,1.265
E01000084,1.267
E01000085,1.23
E01000086,1.3
E01000087,1.238
E01000088,1.296
E01000089,1.29
E01000090,1.267
E01000091,1.379
E01000093,1.342
E01000094,1.435
E01000095,1.426
E01000096,1.48
E01000097,1.417
E01000098,1.426
E01000099,1.403
E01000100,1.398
E01000101,1.3
E01000102,1.382
E01000103,1.266
E01000104,1.271
E01000105,1.24
E01000106,1.25
E01000107,1.35
E01000108,1.299
E01000110,1.269
E01000111,1.312
E01000112,1.218
E01000113,1.293
E01000114,1.37
E01000115,1.423
E01000116,1.378
E01000117,1.452
E01000118,1.463
E01000119,1.369
E01000120,1.245
E01000121,1.203
E01000122,1.101
E01000123,1.259
E01000124,1.359
E01000126,1.313
E01000127,1.389
E01000128,1.346
E01000129,1.3
E01000130,1.442
E01000131,1.525
E01000132,1.535
E01000133,1.49
E01000134,1.484
E01000135,1.492
E01000136,1.489
E01000137,1.457
E01000138,1.494
E01000139,1.456
E01000140,1.478
E01000141,1.378
E01000142,1.2
E01000143,1.498
E01000144,1.455
E01000145,1.362
E01000146,1.376
E01000147,1.509
E01000150,1.495
E01000151,1.498
E01000152,1.379
E01000153,1.307
E01000154,1.424
E01000156,1.363
E01000157,1.509
E01000158,1.462
E01000159,1.532
E01000160,1.541
E01000161,1.509
E01000162,1.525
E01000163,1.457
E01000164,1.209
E01000165,1.216
E01000166,1.365
E01000167,1.248
E01000168,1.399
E01000169,1.413
E01000170,1.383
E01000171,1.412
E01000172,1.445
E01000173,1.469
E01000174,1.223
E01000175,1.144
E01000176,1.155
E01000177,0.974
E01000178,1.188
E01000179,1.277
E01000180,1.025
E01000181,1.133
E01000182,1.28
E01000183,1.105
E01000184,1.395
E01000185,1.101
E01000186,1.114
E01000187,1.16
E01000188,1.286
E01000189,1.045
E01000190,1.044
E01000191,1.168
E01000192,1.448
E01000193,1.519
E01000194,1.175
E01000195,1.286
E01000196,1.211
E01000197,1.543
E01000198,1.281
E01000199,1.282
E01000200,1.372
E01000201,1.36
E01000202,1.475
E01000203,1.479
E01000204,1.358
E01000205,1.347
E01000206,1.349
E01000207,1.238
E01000208,1.289
E01000209,1.333
E01000210,1.262
E01000211,1.465
E01000212,1.268
E01000213,1.148
E01000214,1.162
E01000215,0.997
E01000216,1.126
E01000217,0.745
E01000218,1.107
E01000219,1.36
E01000220,1.029
E01000221,0.838
E01000222,1.211
E01000223,1.222
E01000224,1.275
E01000225,1.069
E01000226,1.257
E01000227,1.287
E01000228,1.228
E01000229,1.542
E01000230,1.541
E01000231,1.51
E01000232,1.553
E01000233,1.099
E01000234,1.491
E01000235,1.368
E01000236,1.354
E01000237,1.436
E01000238,1.257
E01000239,1.488
E01000240,1.387
E01000241,1.401
E01000242,1.327
E01000243,1.461
E01000244,1.086
E01000245,1.29
E01000246,1.359
E01000247,1.508
E01000248,1.5
E01000249,1.319
E01000250,1.301
E01000251,1.277
E01000252,1.43
E01000253,1.482
E01000254,1.009
E01000255,1.046
E01000256,0.781
E01000257,0.861
E01000258,1.077
E01000259,1.226
E01000260,1.127
E01000261,1.091
E01000263,0.763
E01000264,1.384
E01000265,1.327
E01000266,1.506
E01000267,1.188
E01000268,1.408
E01000269,1.467
E01000270,1.059
E01000271,1.476
E01000272,1.087
E01000273,1.417
E01000274,1.325
E01000275,1.101
E01000276,1.137
E01000277,1.317
E01000278,1.103
E01000279,1.136
E01000280,1.138
E01000281,1.061
E01000282,1.309
E01000283,1.323
E01000284,1.362
E01000285,1.283
E01000286,1.466
E01000287,1.285
E01000288,0.995
E01000289,1.096
E01000290,1.333
E01000291,1.295
E01000292,1.167
E01000293,1.325
E01000294,1.222
E01000295,1.288
E01000296,1.135
E01000297,1.232
E01000298,1.448
E01000299,1.081
E01000300,1.433
E01000301,1.057
E01000302,1.087
E01000303,1.166
E01000304,1.361
E01000305,1.359
E01000306,1.393
E01000307,1.344
E01000308,1.403
E01000309,1.329
E01000310,1.327
E01000311,1.424
E01000312,1.376
E01000313,1.302
E01000314,1.491
E01000315,1.363
E01000316,1.458
E01000317,1.511
E01000318,1.434
E01000319,1.399
E01000320,1.067
E01000321,1.466
E01000322,1.463
E01000323,1.405
E01000324,1.442
E01000325,1.497
E01000326,1.408
E01000327,1.386
E01000328,1.262
E01000329,1.252
E01000330,1.32
E01000331,1.292
E01000332,1.429
E01000333,1.286
E01000334,0.522
E01000335,0.718
E01000336,0.649
E01000337,0.583
E01000338,0.704
E01000339,0.733
E01000340,0.884
E01000341,1.158
E01000342,0.923
E01000343,1.09
E01000344,1.37
E01000345,1.418
E01000346,1.18
E01000347,1.178
E01000348,0.584
E01000349,0.609
E01000350,0.537
E01000351,0.525
E01000352,0.557
E01000353,0.554
E01000354,0.626
E01000355,0.623
E01000356,0.741
E01000357,0.62
E01000358,0.731
E01000359,0.617
E01000360,0.634
E01000361,0.784
E01000362,0.692
E01000363,0.897
E01000364,0.691
E01000365,0.897
E01000366,0.917
E01000367,0.734
E01000368,0.9
E01000369,0.884
E01000370,0.675
E01000371,0.761
E01000372,0.909
E01000373,0.873
E01000374,0.785
E01000375,0.922
E01000376,0.992
E01000377,0.946
E01000379,0.749
E01000380,0.744
E01000381,0.642
E01000382,1.099
E01000383,1.289
E01000384,0.961
E01000385,0.775
E01000386,0.822
E01000387,0.567
E01000388,0.816
E01000389,0.744
E01000390,0.648
E01000391,0.614
E01000392,0.698
E01000393,0.617
E01000394,0.552
E01000395,0.888
E01000396,1.075
E01000398,0.693
E01000399,0.971
E01000400,0.823
