LSOA21CD,name,shannonIndex
E01001571,Greenwich 008A,1.334
E01001572,Greenwich 008B,1.275
E01001573,Greenwich 008C,1.339
E01001574,Greenwich 008D,1.320
E01001575,Greenwich 003A,1.317
E01001576,Greenwich 003B,1.247 
E01001577,Greenwich 003C,1.288
E01001578,Greenwich 003D,1.273
E01001579,Greenwich 003E,1.297
E01001580,Greenwich 021A,0.884
E01001581,Greenwich 016A,1.005
E01001582,Greenwich 021B,1.205
E01001583,Greenwich 021C,0.885
E01001584,Greenwich 021D,0.808
E01001585,Greenwich 016B,0.947
E01001586,Greenwich 016C,0.947
E01001587,Greenwich 016D,0.947
E01001588,Greenwich 012A,1.248
E01001589,Greenwich 012B,1.246
E01001590,Greenwich 014A,1.152
E01001591,Greenwich 012C,1.315
E01001592,Greenwich 014B,1.134
E01001593,Greenwich 014C,0.959
E01001594,Greenwich 014D,1.350
E01001595,Greenwich 012D,1.400
E01001596,Greenwich 032A,0.934
E01001597,Greenwich 031A,1.189
E01001598,Greenwich 031B,1.223
E01001599,Greenwich 032B,1.016
E01001600,Greenwich 032C,0.957
E01001601,Greenwich 032D,0.913
E01001602,Greenwich 031C,1.069
E01001603,Greenwich 031D,1.055
E01001604,Greenwich 027A,0.816
E01001605,Greenwich 023A,0.800
E01001606,Greenwich 023B,0.742
E01001607,Greenwich 027B,0.831
E01001608,Greenwich 027C,0.676
E01001609,Greenwich 027D,0.908
E01001610,Greenwich 023C,0.830
E01001611,Greenwich 023D,1.016
E01001613,Greenwich 028A,0.902
E01001614,Greenwich 028B,0.726
E01001615,Greenwich 028C,1.097
E01001617,Greenwich 028D,0.812
E01001618,Greenwich 030C,0.916
E01001619,Greenwich 030D,0.940
E01001620,Greenwich 025A,1.157
E01001621,Greenwich 025B,0.955
E01001623,Greenwich 025C,1.241
E01001624,Greenwich 025D,0.988
E01001625,Greenwich 025E,1.099
E01001629,Greenwich 009A,1.374
E01001631,Greenwich 007B,1.358
E01001632,Greenwich 007C,1.334
E01001633,Greenwich 009B,1.436
E01001634,Greenwich 009C,1.334
E01001635,Greenwich 007D,1.261
E01001636,Greenwich 007E,1.432
E01001637,Greenwich 009D,1.334
E01001638,Greenwich 038A,1.318
