GSSCode,diversity2011
E01000027,0.907
E01000028,1.132
E01000029,1.03
E01000030,1.031
E01000031,1.243
E01000032,1.079
E01000110,1.164
E01000111,1.091
E01000112,1.223
E01000113,1.243
E01000034,0.755
E01000037,0.629
E01000038,0.629
E01000039,0.719
E01000063,0.857
E01000100,0.95
E01000101,0.911
E01000109,1.079
E01000114,1.08
E01000033,0.779
E01000060,0.945
E01000061,0.968
E01000062,0.95
E01000064,0.893
E01000065,0.888
E01000078,0.965
E01000080,0.941
E01000081,0.942
E01000082,0.899
E01000083,0.985
E01000102,0.925
E01000021,1.178
E01000022,1.041
E01000023,1.171
E01000024,1.166
E01000025,0.941
E01000077,0.937
E01000015,0.974
E01000016,0.901
E01000017,0.917
E01000018,0.866
E01000079,0.929
E01000035,0.973
E01000036,1.062
E01000107,0.885
E01000108,0.975
E01000066,1.157
E01000067,1.154
E01000069,1.106
E01000070,1.152
E01000071,1.24
E01000057,0.998
E01000073,0.926
E01000074,0.889
E01000075,0.875
E01000076,1.008
E01000013,0.937
E01000014,0.824
E01000059,0.831
E01000084,0.908
E01000085,0.981
E01000086,0.97
E01000103,1.052
E01000104,0.98
E01000105,0.943
E01000106,0.999
E01000007,1.338
E01000008,1.341
E01000010,1.314
E01000012,1.339
E01000006,1.164
E01000009,1.142
E01000011,0.991
E01000044,1.282
E01000068,1.05
E01000041,0.959
E01000042,1.208
E01000045,1.106
E01000046,0.868
E01000072,0.992
E01000054,0.868
E01000055,0.926
E01000056,0.959
E01000058,1.093
E01000095,1.147
E01000040,1.156
E01000043,1.159
E01000050,1.308
E01000052,1.25
E01000092,1.302
E01000053,1.015
E01000087,0.938
E01000088,1.106
E01000089,1.041
E01000090,1.194
E01000048,1.257
E01000049,1.323
E01000051,1.332
E01033587,1.28
E01033588,1.33
E01000091,1.185
E01000093,1.168
E01000094,1.25
E01000096,1.164
E01000019,1.198
E01000020,1.016
E01000097,0.985
E01000098,1.096
E01000099,0.945
E01032580,1.207
E01000248,0.498
E01000249,0.553
E01000250,0.752
E01000254,0.481
E01000292,0.729
E01000293,0.757
E01000167,0.82
E01000246,0.689
E01000247,0.726
E01000251,0.906
E01000252,0.8
E01000166,0.9
E01000168,0.82
E01000169,0.659
E01000172,0.702
E01000285,0.899
E01000287,0.808
E01000288,0.905
E01000289,1.194
E01000291,1.167
E01000294,0.84
E01000267,0.801
E01000268,1.01
E01000269,0.764
E01000270,0.806
E01000170,0.862
E01000171,0.962
E01000173,0.806
E01000174,0.965
E01000175,0.775
E01000228,1.056
E01000253,0.759
E01000279,0.663
E01000280,0.757
E01000286,0.973
E01000290,0.752
E01000271,0.807
E01000272,0.728
E01000273,0.996
E01000281,1.028
E01000282,0.978
E01000115,0.916
E01000116,0.875
E01000119,1.062
E01000120,1.001
E01000122,1.044
E01000117,0.773
E01000118,0.939
E01000121,1.103
E01000123,0.985
E01000124,1.184
E01000265,1.019
E01000266,0.768
E01000274,1.014
E01000320,0.93
E01000322,0.977
E01000275,1.07
E01000277,1.23
E01000283,0.82
E01000284,1.017
E01000321,1.011
E01000195,1.249
E01000229,1.175
E01000230,0.928
E01000231,1.286
E01000232,1.106
E01000233,1.123
E01000186,0.826
E01000187,0.968
E01000188,0.868
E01000189,1.404
E01000190,0.962
E01000191,0.959
E01000158,1.07
E01000159,0.926
E01000160,1.119
E01000161,1.138
E01000162,1.096
E01000324,0.97
E01000256,1.02
E01000258,0.86
E01000263,0.753
E01000264,1.145
E01000255,1.097
E01000257,1.295
E01000261,0.732
E01000262,1.235
E01000192,1.081
E01000193,1.065
E01000194,1.259
E01000226,1.277
E01000227,1.077
E01000299,1.133
E01000300,1.021
E01000302,1.162
E01000317,1.136
E01000318,1.112
E01000323,1.168
E01000276,0.958
E01000278,0.964
E01000301,1.021
E01000303,1.091
E01000304,0.989
E01000130,1.284
E01000132,1.28
E01000133,1.219
E01000234,1.021
E01000235,1.213
E01000156,0.888
E01000157,0.895
E01000163,1.135
E01000164,1.183
E01000165,1.237
E01000315,1.183
E01000197,1.046
E01000295,1.067
E01000296,1.063
E01000298,1.042
E01000125,1.384
E01000127,1.28
E01000128,1.276
E01000129,1.296
E01000131,1.248
E01000134,1.263
E01000198,1.049
E01000199,0.914
E01000204,0.947
E01000259,1.138
E01000260,1.225
E01000126,1.405
E01000151,1.443
E01000152,1.425
E01000153,1.325
E01000154,1.38
E01000176,1.112
E01000178,0.789
E01000184,1.196
E01000297,1.118
E01000316,1.285
E01000319,0.936
E01000196,1.061
E01000200,0.973
E01000201,1.028
E01000202,0.942
E01000203,1.222
E01000177,0.775
E01000179,0.832
E01000180,0.97
E01000181,0.722
E01000182,0.72
E01000185,1.33
E01000147,1.133
E01000148,1.358
E01000155,1.25
E01033572,1.261
E01033573,1.401
E01000239,1.31
E01000240,1.298
E01000241,1.01
E01000309,1.198
E01000237,0.974
E01000242,0.989
E01000243,0.955
E01000244,1.172
E01000245,1.244
E01000314,1.156
E01000183,0.842
E01000206,0.83
E01000207,0.677
E01000208,0.795
E01000210,0.78
E01000213,0.546
E01000236,0.76
E01000238,1.062
E01000310,1.124
E01000311,0.743
E01000205,0.824
E01000209,0.474
E01000211,1.063
E01000212,0.704
E01000216,0.955
E01000217,0.745
E01000150,1.273
E01000305,1.326
E01000306,1.134
E01000308,1.318
E01000312,1.256
E01000313,1.281
E01000145,0.995
E01000215,0.897
E01000218,0.938
E01000219,0.969
E01000220,0.903
E01000225,0.77
E01000135,1.088
E01000136,0.874
E01000144,1.093
E01000146,1.155
E01000214,0.881
E01000141,1.296
E01000221,1.386
E01000223,1.296
E01000307,1.254
E01000138,1.203
E01000142,1.266
E01000222,1.367
E01000224,1.396
E01000137,1.271
E01000139,1.066
E01000140,1.085
E01000143,1.272
E01000587,1.001
E01000589,1.069
E01000590,1.116
E01000592,1.219
E01000593,1.286
E01000594,0.999
E01000513,1.224
E01000514,1.274
E01000516,1.24
E01000520,1.312
E01000588,1.37
E01000515,1.381
E01000517,1.021
E01000543,1.056
E01000591,1.082
E01033463,1.128
E01000536,1.039
E01000538,1.021
E01000539,1.019
E01000540,1.03
E01000541,0.992
E01000518,1.302
E01000519,1.38
E01000623,1.234
E01000624,1.293
E01000629,1.208
E01000480,1.299
E01000484,1.405
E01000485,1.297
E01000486,1.29
E01000487,1.304
E01000572,1.178
E01000573,1.22
E01000574,1.235
E01000575,1.233
E01000577,1.407
E01000562,1.105
E01000563,1.141
E01000566,1.194
E01000568,1.135
E01000569,1.152
E01000479,1.321
E01000481,1.392
E01000482,1.416
E01000483,1.469
E01000625,1.355
E01000498,1.328
E01000622,1.291
E01000626,1.402
E01033464,1.333
E01000497,1.342
E01000499,1.441
E01000501,1.443
E01000502,1.344
E01000503,1.312
E01000570,1.255
E01000571,1.316
E01000576,1.225
E01000578,1.319
E01000564,1.251
E01000565,1.24
E01000607,1.085
E01000608,1.215
E01000613,1.26
E01000506,1.367
E01000509,1.34
E01000510,1.407
E01000511,1.4
E01000627,1.421
E01000628,1.403
E01000553,1.302
E01000554,1.245
E01000555,1.229
E01000556,1.346
E01000557,1.276
E01000558,1.148
E01000567,1.2
E01000606,1.251
E01000609,1.248
E01000611,1.142
E01000615,1.359
E01000617,1.224
E01000618,1.281
E01000619,1.277
E01033424,1.407
E01033457,1.246
E01000504,1.216
E01000505,1.378
E01000507,1.366
E01000512,1.119
E01000559,1.182
E01000610,1.153
E01000612,1.092
E01000631,0.907
E01000633,0.683
E01000634,1.134
E01000616,1.23
E01000620,1.184
E01000621,1.299
E01000635,1.224
E01000636,1.092
E01000596,1.374
E01000601,1.383
E01000602,1.363
E01000603,1.395
E01000604,1.315
E01000605,1.316
E01000488,1.395
E01000637,1.27
E01000639,1.192
E01000642,1.203
E01000644,1.302
E01000490,1.109
E01000494,1.291
E01000495,1.185
E01000560,0.928
E01000561,1.258
E01000638,1.352
E01000640,1.392
E01000641,1.37
E01000643,1.422
E01000508,1.316
E01000521,1.432
E01000522,1.302
E01000526,1.32
E01000527,1.354
E01000528,1.236
E01000471,1.164
E01000474,0.877
E01000476,0.983
E01000477,1.232
E01000630,1.196
E01000595,1.381
E01000599,1.222
E01000600,1.338
E01033456,1.215
